ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
741	clofexamida	clofexamida	clofexamide	clofexamide	1223-36-5	analgèsic	antiinflamatori	
742	clofezona	clofezona	clofézone	clofezone	60104-29-2	analgèsic	antiinflamatori	
743	clofibrat	clofibrato	clofibrate	clofibrate	637-07-0	hipolipemiant		
744	clofibrat d'alumini	clofibrato de aluminio	clofibrate d'aluminium	aluminium clofibrate	24818-79-9	hipolipemiant		
745	clofibrat de calci	clofibrato de calcio	clofibrate de calcium	calcium clofibrate	39087-48-4	hipolipemiant		
746	clofoctol	clofoctol	clofoctol	clofoctol	37693-01-9	antiinfecciós		
747	clometiazole	clometiazol	clométhiazole	clomethiazole	533-45-9	hipnòtic sedant		
748	clometocil·lina	clometocilina	clométocilline	clometocillin	1926-49-4	antibiòtic penicil·línic sensible a la penicil·linasa		
749	clomifè	clomifeno	clomifène	clomifene	911-45-5	estimulant de la gonadotrofina		
750	clomipramina	clomipramina	clomipramine	clomipramine	303-49-1	antidepressiu tricíclic		
751	clonazepam	clonazepam	clonazépam	clonazepam	1622-61-3	antiepilèptic		
752	clonazolina	clonazolina	clonazoline	clonazoline	17692-28-3	vasoconstrictor nasal		
753	clonidina	clonidina	clonidine	clonidine	4205-90-7	antihipertensor		
754	clonixina	clonixino	clonixine	clonixin	17737-65-4	analgèsic		
755	clopamida	clopamida	clopamide	clopamide	636-54-4	diürètic		
756	cloperastina	cloperastina	clopérastine	cloperastine	3703-76-2	antitussigen		
757	clopidogrel	clopidogrel	clopidogrel	clopidogrel	113665-84-2	antiagregant plaquetari		
758	cloponona	cloponona	cloponone	cloponone	15301-50-5	antiprotozoari	antisèptic	
759	cloprednol	cloprednol	cloprednol	cloprednol	5251-34-3	hormona corticoadrenal		
760	cloprostenol	cloprostenol	cloprosténol	cloprostenol	40665-92-7	autacoide	prostaglandina	
761	cloral betaïna	cloral betaína	cloral bétaïne	cloral betaine	2218-68-0	hipnòtic sedant		
762	cloralosa	cloralosa	chloralose	chloralose	15879-93-3	hipnòtic sedant		
763	clorambucil	clorambucilo	chlorambucil	chlorambucil	305-03-3	antineoplàstic alquilant		
764	cloramfenicol	cloranfenicol	chloramphénicol	chloramphenicol	56-75-7	antibiòtic		
765	clorazepat dipotàssic	clorazepato de dipotasio	clorazépate dipotassique	dipotassium clorazepate	57109-90-7	ansiolític		
766	clorciclizina	clorciclizina	chlorcyclizine	chlorcyclizine	82-93-9	antial·lèrgic	antihistamínic H1	
767	clordiazepòxid	clordiazepóxido	chlordiazépoxide	chlordiazepoxide	58-25-3	tranquil·litzant		
768	clorfenamina	clorfenamina	chlorphénamine	chlorphenamine	132-22-9	antial·lèrgic	antihistamínic H1	
769	clorfenesina	clorfenesina	chlorphénésine	chlorphenesin	104-29-0	fungicida d'ús tòpic		
770	clorfenoxamina	clorfenoxamina	chlorphénoxamine	chlorphenoxamine	77-38-3	antial·lèrgic	anticolinèrgic central	antihistamínic H1
771	clorhexidina	clorhexidina	chlorhexidine	chlorhexidine	55-56-1	antisèptic	desinfectant	
772	cloricromèn	cloricromeno	cloricromène	cloricromen	68206-94-0	antiagregant plaquetari		
773	cloridarol	cloridarol	cloridarol	cloridarol	3611-72-1	vasodilatador coronari		
774	clormadinona	clormadinona	chlormadinone	chlormadinone	1961-77-9	progestagen		
775	clormetina	clormetina	chlorméthine	chlormethine	51-75-2	antineoplàstic alquilant		
776	clormezanona	clormezanona	chlormézanone	chlormezanone	80-77-3	tranquil·litzant		
777	clormidazole	clormidazol	chlormidazole	chlormidazole	3689-76-7	antifúngic		
778	clorobutanol	clorobutanol	chlorobutanol	chlorobutanol	57-15-8	anestèsic local	coadjuvant tecnològic	conservant
779	clorocresol	clorocresol	chlorocrésol	chlorocresol	59-50-7	antisèptic	desinfectant	
780	cloropiramina	cloropiramina	chloropyramine	chloropyramine	59-32-5	antial·lèrgic	antihistamínic H1	
781	cloroprocaïna	cloroprocaína	chloroprocaïne	chloroprocaine	133-16-4	anestèsic local		
782	cloroquina	cloroquina	chloroquine	chloroquine	54-05-7	antipalúdic	antiprotozoari	antireumàtic
783	clorotiazida	clorotiazida	chlorothiazide	chlorothiazide	58-94-6	diürètic tiazídic		
784	clorotrianisè	clorotrianiseno	chlorotrianisène	chlorotrianisene	569-57-3	estrogen		
785	cloroxilenol	cloroxilenol	chloroxylénol	chloroxylenol	88-04-0	antisèptic	desinfectant	
786	clorproetazina	clorproetazina	chlorproéthazine	chlorproethazine	84-01-5	relaxant muscular d'acció central		
787	clorproguanil	clorproguanil	chlorproguanil	chlorproguanil	537-21-3	antipalúdic	antiprotozoari	
788	clorpromazina	clorpromazina	chlorpromazine	chlorpromazine	50-53-3	neurolèptic		
789	clorpropamida	clorpropamida	chlorpropamide	chlorpropamide	94-20-2	hipoglucemiant oral		
790	clorprotixè	clorprotixeno	chlorprothixène	chlorprothixene	113-59-7	neurolèptic		
791	clorquinaldol	clorquinaldol	chlorquinaldol	chlorquinaldol	72-80-0	antisèptic tòpic		
792	clortalidona	clortalidona	chlortalidone	chlortalidone	77-36-1	diürètic		
793	clortetraciclina	clortetraciclina	chlortétracycline	chlortetracycline	57-62-5	antibiòtic tetraciclínic		
794	clorur d'acetilcolina	cloruro de acetilcolina	chlorure d'acétylcholine	acetylcholine chloride	51-84-3	hipotensor	parasimpaticomimètic	
795	clorur d'acriflavini	cloruro de acriflavinio	chlorure d'acriflavinium	acriflavinium chloride	8018-07-3	antisèptic	desinfectant	
796	clorur d'alcuroni	cloruro de alcuronio	chlorure d'alcuronium	alcuronium chloride	15180-03-7	blocador neuromuscular		
797	clorur d'ambenoni	cloruro de ambenonio	chlorure d'ambénonium	ambenonium chloride	115-79-7	inhibidor de la colinesterasa	parasimpaticomimètic	
798	clorur d'edrofoni	cloruro de edrofonio	chlorure d'édrophonium	edrophonium chloride	116-38-1	agent de diagnòstic	antídot antagonista del curare	
799	clorur d'octafoni	cloruro de octafonio	chlorure d'octafonium	octafonium chloride	15687-40-8	antisèptic	desinfectant	
800	clorur de benzalconi	cloruro de benzalconio	chlorure de benzalkonium	benzalkonium chloride	8001-54-5	antisèptic	desinfectant	
801	clorur de benzetoni	cloruro de bencetonio	chlorure de benzéthonium	benzethonium chloride	121-54-0	antisèptic	desinfectant	
802	clorur de benzododecini	cloruro de benzododecinio	chlorure de benzododécinium	benzododecinium chloride	139-07-1	antisèptic	desinfectant	
803	clorur de benzoxoni	cloruro de benzoxonio	chlorure de benzoxonium	benzoxonium chloride	19379-90-9	antisèptic	desinfectant	
804	clorur de cetalconi	cloruro de cetalconio	chlorure de cétalkonium	cetalkonium chloride	122-18-9	antisèptic	desinfectant	
805	clorur de cetilpiridini	cloruro de cetilpiridinio	chlorure de cétylpyridinium	cetylpyridinium chloride	123-03-5	antisèptic	desinfectant	
806	clorur de colina	cloruro de colina	chlorure de choline	choline chloride	67-48-1	colerètic		
807	clorur de dequalini	cloruro de decualinio	chlorure de déqualinium	dequalinium chloride	522-51-0	antisèptic	desinfectant	
808	clorur de doxacuri	cloruro de doxacurio	chlorure de doxacurium	doxacurium chloride	106819-53-8	blocador neuromuscular		
809	clorur de metalconi	cloruro de metalconio	chlorure de métalkonium	metalkonium chloride	100-95-8	antisèptic tòpic		
810	clorur de metilbenzetoni	cloruro de metilbencetonio	chlorure de méthylbenzéthonium	methylbenzethonium chloride	25155-18-4	antisèptic tòpic		
811	clorur de metilrosanilini	cloruro de metilrosanilina	chlorure de méthylrosanilinium	methylrosanilinium chloride	548-62-9	antisèptic tòpic		
812	clorur de metiltionini	cloruro de metiltioninio	chlorure de méthylthioninium	methylthioninium chloride	61-73-4	antídot	antisèptic urinari	
813	clorur de miripiri	cloruro de miripirio	chlorure de miripirium	miripirium chloride	2748-88-1	conservant		
814	clorur de miristalconi	cloruro de miristalconio	chlorure de miristalkonium	miristalkonium chloride	139-08-2	desinfectant	espermicida	
815	clorur de mivacuri	cloruro de mivacurio	chlorure de mivacurium	mivacurium chloride	106861-44-3	blocador neuromuscular		
816	clorur de suxametoni	cloruro de suxametonio	chlorure de suxaméthonium	suxamethonium chloride	71-27-2	blocador neuromuscular		
817	clorur de toloni	cloruro de tolonio	chlorure de tolonium	tolonium chloride	92-31-9	antídot de la metahemoglobinèmia	hemostàtic	
818	clorur de trospi	cloruro de trospio	chlorure de trospium	trospium chloride	10405-02-4	antiespasmòdic		
819	clorzoxazona	clorzoxazona	chlorzoxazone	chlorzoxazone	95-25-0	relaxant muscular d'acció central		
820	closantel	closantel	closantel	closantel	57808-65-8	antihelmíntic		
821	clostebol	clostebol	clostébol	clostebol	1093-58-9	anabolitzant		
822	clotiapina	clotiapina	clotiapine	clotiapine	2058-52-8	neurolèptic		
823	clotiazepam	clotiazepam	clotiazépam	clotiazepam	33671-46-4	tranquil·litzant		
824	clotrimazole	clotrimazol	clotrimazole	clotrimazole	23593-75-1	antifúngic		
825	cloxacil·lina	cloxacilina	cloxacilline	cloxacillin	61-72-3	antibiòtic penicil·línic resistent a la penicil·linasa		
826	cloxazolam	cloxazolam	cloxazolam	cloxazolam	24166-13-0	tranquil·litzant		
827	cloxiquina	cloxiquina	cloxiquine	cloxiquine	130-16-5	antisèptic	desinfectant	
828	clozapina	clozapina	clozapine	clozapine	5786-21-0	neurolèptic		
829	cobamamida	cobamamida	cobamamide	cobamamide	13870-90-1	vitamina del grup B		
830	cobicistat	cobicistat	cobicistat	cobicistat	1004316-88-4	inhibidor del citocrom P450 3A4		
831	cobimetinib	cobimetinib	cobimétinib	cobimetinib	934660-93-2	antineoplàstic		
832	cocarboxilasa	cocarboxilasa	cocarboxylase	cocarboxylase	154-87-0	enzim	vitamina del grup B	
833	colecalciferol	colecalciferol	colécalciférol	colecalciferol	67-97-0	emprat en la prevenció i el tractament del dèficit de vitamina D		
834	colesevelam	colesevelam	colésévélam	colesevelam	182815-43-6	antihiperlipèmic		
835	colestilan	colestilán	colestilan	colestilan	95522-45-5	hipolipemiant		
836	colestipol	colestipol	colestipol	colestipol	50925-79-6	antihiperlipèmic		
837	colestiramina	colestiramina	colestyramine	colestyramine	11041-12-6	antihiperlipèmic		
838	colextran	colextrán	colextran	colextran	9015-73-0	antihiperlipèmic		
839	colforsina	colforsina	colforsine	colforsin	66575-29-9	estimulant de l'adenilatociclasa		
840	colistimetat de sodi	colistimetato sódico	colistiméthate sodique	colistimethate sodium	8068-28-8	antibiòtic		
841	colistina	colistina	colistine	colistin	1066-17-7	antibiòtic polipeptídic		
842	conestat alfa	conestat alfa	conestat alfa	conestat alfa	80295-38-1	inhibidor enzimàtic		
843	copanlisib	copanlisib	copanlisib	copanlisib	1032568-63-0	antineoplàstic		
844	corbadrina	corbadrina	corbadrine	corbadrine	829-74-3	vasoconstrictor		
845	corifol·litropina alfa	corifolitropina alfa	corifollitropine alfa	corifollitropin alfa	195962-23-3	hormona		
846	coriogonadotropina alfa	coriogonadotropina alfa	choriogonadotropine alfa	choriogonadotropin alfa	9002-61-3	hormona estimulant de l'ovulació		
847	corticorelina	corticorelina	corticoréline	corticorelin	86784-80-7	hormona hipofítica	hormona hipotalàmica	
848	corticotropina	corticotropina	corticotropine	corticotropin	9002-60-2	agent de diagnòstic de les afeccions hipofítiques	agent de diagnòstic de les afeccions suprarenals	
849	cortisona	cortisona	cortisone	cortisone	53-06-5	glucocorticoide		
850	cortivazol	cortivazol	cortivazol	cortivazol	1110-40-3	glucocorticoide		
851	creatinolfosfat	creatinolfosfato	créatinolfosfate	creatinolfosfate	6903-79-3	cardiotònic		
852	crilanòmer	crilanómero	crilanomère	crilanomer	37291-07-9	coadjuvant farmacèutic		
853	criofluorà	criofluorano	cryofluorane	cryofluorane	76-14-2	anestèsic local		
854	crisaborole	crisaborol	crisaborole	crisaborole	906673-24-3	antiinflamatori no esteroidal		
855	crisnatol	crisnatol	crisnatol	crisnatol	96389-68-3	antineoplàstic		
856	crizotinib	crizotinib	crizotinib	crizotinib	877399-52-5	antineoplàstic		
857	croconazole	croconazol	croconazol	croconazole	77175-51-0	antifúngic tòpic		
858	cromakalim	cromakalim	cromakalim	cromakalim	94470-67-4	vasodilatador		
859	cromocarb	cromocarbo	chromocarbe	chromocarb	4940-39-0	vasoprotector		
860	cromoglicat de sodi	cromoglicato de sodio	cromoglicate de sodium	sodium cromoglicate	16110-51-3	antial·lèrgic		
861	crospovidona	crospovidona	crospovidone	crospovidone	9003-39-8	coadjuvant farmacèutic		
862	crotamitó	crotamitón	crotamiton	crotamiton	483-63-6	escabicida		
863	dabigatran etexilat	dabigatrán etexilato	dabigatran étexilate	dabigatran etexilate	211915-06-9	antitrombòtic		
864	dabrafenid	dabrafenib	dabrafénib	dabrafenib	1195765-45-7	antineoplàstic		
865	dacarbazina	dacarbazina	dacarbazine	dacarbazine	4342-03-4	antineoplàstic		
866	daclatasvir	daclatasvir	daclatasvir	daclatasvir	1009119-64-5	antivíric		
867	daclizumab	daclizumab	daclizumab	daclizumab	152923-56-3	anticòs monoclonal	antineoplàstic	
868	dactinomicina	dactinomicina	dactinomycine	dactinomycin	50-76-0	antineoplàstic		
869	dalantercept	dalantercept	dalantercept	dalantercept	1186210-24-1	antineoplàstic		
870	dalbavancina	dalbavancina	dalbavancine	dalbavancin	171500-79-1	antibiòtic		
871	dalcetrapib	dalcetrapib	dalcétrapib	dalcetrapib	211513-37-0	antihiperlipèmic		
872	dalfopristina	dalfopristina	dalfopristine	dalfopristin	112362-50-2	antibiòtic estreptogramínic		
873	dalteparina sòdica	dalteparina de sodio	daltéparine sodique	dalteparin sodium	9041-08-1	anticoagulant		
874	danaparoide sòdic	danaparoide de sodio	danaparoïde sodique	danaparoid sodium	83513-48-8	antitrombòtic		
875	danazol	danazol	danazol	danazol	17230-88-5	agonista androgen		
876	dantró	dantrón	dantrone	dantron	117-10-2	laxant		
877	dantrolè	dantroleno	dantrolène	dantrolene	7261-97-4	relaxant muscular d'acció central		
878	dapagliflozina	dapagliflozina	dapagliflozine	dapagliflozin	461432-26-8	hipoglucemiant oral		
879	dapiprazole	dapiprazol	dapiprazole	dapiprazole	72822-12-9	antimidriàtic	emprat en el tractament del glaucoma	psicoterapèutic
880	dapoxetina	dapoxetina	dapoxétine	dapoxetin	119356-77-3	modulador de l'ejaculació		
881	dapsona	dapsona	dapsone	dapsone	80-08-0	antileprós		
882	daptomicina	daptomicina	daptomycine	daptomycin	103060-53-3	antibiòtic licopeptídic		
883	daratumumab	daratumumab	daratumumab	daratumumab	945721-28-8	antineoplàstic		
884	darbepoetina alfa	darbepoetina alfa	darbépoétine alfa	darbepoetin alfa	209810-58-2	antianèmic		
885	darifenacina	darifenacina	darifénacine	darifenacin	133099-04-4	antagonista muscarínic		
886	darunavir	darunavir	darunavir	darunavir	206361-99-1	antiretroviral		
887	darvadstrocel	darvadstrocel	darvadstrocel	darvadstrocel		immunomodulador		
888	dasabuvir	dasabuvir	dasabuvir	dasabuvir	1132935-63-7	antivíric		
889	dasatinib	dasatinib	dasatinib	dasatinib	302962-49-8	antineoplàstic		
890	daunorubicina	daunorubicina	daunorubicine	daunorubicin	20830-81-3	antibiòtic antraciclínic	antineoplàstic	
891	debrisoquina	debrisoquina	débrisoquine	debrisoquine	1131-64-2	antihipertensor		
892	decitabina	decitabina	décitabine	decitabine	2353-33-5	antineoplàstic		
893	dectaflur	dectafluro	dectaflur	dectaflur	1838-19-3	anticariogen		
894	deferasirox	deferasirox	déférasirox	deferasirox	201530-41-8	quelant del ferro		
895	deferiprona	deferiprona	défériprone	deferiprone	30652-11-0	quelant		
896	defibrotida	defibrotida	défibrotide	defibrotide		anticoagulant	trombolític	
897	deflazacort	deflazacort	déflazacort	deflazacort	14484-47-0	glucocorticoide		
898	degarelix	degarelix	dégarélix	degarelix	214766-78-6	antineoplàstic		
899	delafloxacina	delafloxacino	délafloxacine	delafloxacin	189279-58-1	antibiòtic fluoroquinolònic		
900	delamanid	delamanid	délamanid	delamanid	681492-22-8	antibacterià		
901	delapril	delapril	délapril	delapril	83435-66-9	antihipertensor		
902	delavirdina	delavirdina	délavirdine	delavirdine	136817-59-9	anti-VIH		
903	deleobuvir	deleobuvir	déléobuvir	deleobuvir	863884-77-9	antivíric		
904	delmadinona	delmadinona	delmadinone	delmadinone	15262-77-8	progestagen		
905	delorazepam	delorazepam	délorazépam	delorazepam	2894-67-9	tranquil·litzant		
906	demeclociclina	demeclociclina	déméclocycline	demeclocycline	127-33-3	antibiòtic tetraciclínic		
907	demegestona	demegestona	démégestone	demegestone	10116-22-0	progestagen		
908	demoxitocina	demoxitocina	démoxytocine	demoxytocin	113-78-0	hormona pituïtària posterior	oxitòcic	
909	denileukina diftitox	denileukina diftitox	dénileukine diftitox	denileukin diftitox	173146-27-5	immunomodulador		
910	denopamina	denopamina	dénopamine	denopamine	71771-90-9	cardiotònic		
911	denosumab	denosumab	dénosumab	denosumab	615258-40-7	anticòs monoclonal		
912	depatuxizumab	depatuxizumab	dépatuxizumab	depatuxizumab	1471999-69-5	antineoplàstic	immunomodulador	
913	depreotida	depreotida	dépréotide	depreotide	161982-62-3	agent de diagnòstic		
914	deprodona	deprodona	déprodone	deprodone	20423-99-8	glucocorticoide		
915	deptropina	deptropina	deptropine	deptropine	604-51-3	antihistamínic H1		
916	deserpidina	deserpidina	déserpidine	deserpidine	131-01-1	antihipertensor		
917	desflurà	desflurano	desflurane	desflurane	57041-67-5	anestèsic inhalatori		
918	deshidroemetina	deshidroemetina	déhydroémétine	dehydroemetine	4914-30-1	amebicida	antiprotozoari	
919	desipramina	desipramina	désipramine	desipramine	50-47-5	antidepressiu tricíclic		
920	desirudina	desirudina	désirudine	desirudin	120993-53-5	anticoagulant		
921	deslanòsid	deslanósido	deslanoside	deslanoside	17598-65-1	glucòsid cardiotònic		
922	desloratadina	desloratadina	desloratadine	desloratadine	100643-71-8	antihistamínic		
923	deslorelina	deslorelina	desloréline	deslorelin	57773-65-6	anàleg de la gonadorelina		
924	desmopressina	desmopresina	desmopressine	desmopressin	16679-58-6	antidiürètic		
925	desogestrel	desogestrel	désogestrel	desogestrel	54024-22-5	progestagen		
926	desonida	desonida	désonide	desonide	638-94-8	glucocorticoide		
927	desoxicortona	desoxicortona	désoxycortone	desoxycortone	64-85-7	mineralocorticoide		
928	desoximetasona	desoximetasona	désoximétasone	desoximetasone	382-67-2	glucocorticoide		
929	desvenlafaxina	desvenlafaxina	dèsvenlafaxine	desvenlafaxine	93413-62-8	antidepressiu		
930	dexametasona	dexametasona	dexaméthasone	dexamethasone	50-02-2	glucocorticoide	hormona corticoadrenal	
931	dexamfetamina	dexanfetamina	dexamfétamine	dexamfetamine	51-64-9	psicoestimulant		
932	dexbromfeniramina	dexbromfeniramina	dexbromphéniramine	dexbrompheniramine	132-21-8	antial·lèrgic	antihistamínic H1	
933	dexclorfeniramina	dexclorfeniramina	dexchlorphéniramine	dexchlorpheniramine	25523-97-1	antial·lèrgic	antihistamínic H1	
934	dexetimida	dexetimida	dexétimide	dexetimide	21888-98-2	anticolinèrgic		
935	dexfenfluramina	dexfenfluramina	dexfenfluramine	dexfenfluramine	3239-44-9	anorèctic		
936	dexibuprofèn	dexibuprofeno	dexibuprofène	dexibuprofen	51146-56-6	analgèsic	antiinflamatori	antipirètic
937	dexketoprofèn trometamol	dexketoprofeno trometamol	dexketoprofène trométamol	dexketoprofen trometamol	156604-79-4	analgèsic	antiinflamatori	antipirètic
938	dexmedetomidina	dexmedetomidina	dexmédétomidine	dexmedetomidine	113775-47-6	ansiolític	sedant	
939	dexmetilfenidat	dexmetilfenidato	dexméthylphénidate	dexmethylphenidate	40431-64-9	estimulant del sistema nerviós central		
940	dexpantenol	dexpantenol	dexpanthénol	dexpanthenol	81-13-0	emprat en la prevenció i el tractament del dèficit de vitamines del complex B		
941	dexrazoxà	dexrazoxano	dexrazoxane	dexrazoxane	24584-09-6	citoprotector		
942	dextran	dextrán	dextran	dextran	9004-54-0	expansor plasmàtic		
943	dextranòmer	dextranómero	dextranomère	dextranomer	56087-11-7	absorbent d'exsudats de ferides i úlceres		
944	dextriferró	dextriferrón	dextriferron	dextriferron	9004-51-7	antianèmic		
945	dextrometorfan	dextrometorfano	dextrométhorphane	dextromethorphan	125-71-3	antitussigen		
946	dextromoramida	dextromoramida	dextromoramide	dextromoramide	357-56-2	analgèsic opiaci		
947	dextropropoxifè	dextropropoxifeno	dextropropoxyphène	dextropropoxyphene	469-62-5	analgèsic		
948	dextrorfan	dextrorfano	dextrorphane	dextrorphan	125-73-5	antitussigen		
949	dextrotiroxina sòdica	dextrotiroxina sódica	dextrothyroxine sodique	dextrothyroxine sodium	51-49-0	antihiperlipèmic		
950	dezocina	dezocina	dézocine	dezocine	53648-55-8	analgèsic		
951	diacereïna	diacereína	diacéréine	diacerein	13739-02-1	analgèsic	antiinflamatori	antipirètic
952	diazepam	diazepam	diazépam	diazepam	439-14-5	tranquil·litzant		
953	diaziquona	diazicuona	diaziquone	diaziquone	57998-68-2	antineoplàstic		
954	diazòxid	diazóxido	diazoxide	diazoxide	364-98-7	antihipertensor		
955	dibekacina	dibekacina	dibékacine	dibekacin	34493-98-6	antibiòtic aminoglicosídic		
956	dibenzepina	dibenzepina	dibenzépine	dibenzepin	4498-32-2	antidepressiu tricíclic		
957	dibotermina alfa	dibotermina alfa	dibotermine alfa	dibotermin alfa	246539-15-1	factor de creixement		
958	dibrompropamidina	dibrompropamidina	dibrompropamidine	dibrompropamidine	496-00-4	antisèptic tòpic		
959	dibromsalan	dibromsalán	dibromsalan	dibromsalan	87-12-7	antisèptic	desinfectant	
960	dibunat de sodi	dibunato de sodio	dibunate de sodium	sodium dibunate	14992-59-7	antitussigen		
961	dicicloverina	dicicloverina	dicyclovérine	dicycloverine	77-19-0	antiespasmòdic		
962	diclazuril	diclazurilo	diclazuril	diclazuril	101831-37-2	antiprotozoari		
963	diclofenac	diclofenaco	diclofénac	diclofenac	15307-86-5	analgèsic	antiinflamatori	antipirètic
964	diclofenamida	diclofenamida	diclofénamide	diclofenamide	120-97-8	diürètic inhibidor de l'anhidrasa carbònica		
965	diclonina	diclonina	dyclonine	dyclonine	586-60-7	anestèsic local		
966	diclorisona	diclorisona	dichlorisone	dichlorisone	7008-26-6	glucocorticoide		
967	diclorofèn	diclorofeno	dichlorophène	dichlorophen	97-23-4	fungicida d'ús tòpic		
968	dicloroxilenol	dicloroxilenol	dichloroxylénol	dichloroxylenol	133-53-9	antisèptic	desinfectant	
969	dicloxacil·lina	dicloxacilina	dicloxacilline	dicloxacillin	3116-76-5	antibiòtic penicil·línic resistent a la penicil·linasa		
970	dicumarol	dicumarol	dicoumarol	dicoumarol	66-76-2	anticoagulant	antitrombòtic	
971	didanosina	didanosina	didanosine	didanosine	69655-05-6	antivíric		
972	didrogesterona	didrogesterona	dydrogestérone	dydrogesterone	152-62-5	progestagen		
973	didrovaltrat	didrovaltrato	didrovaltrate	didrovaltrate	18296-45-2	hipnòtic sedant		
974	dieldrina	dieldrina	dieldrine	dieldrin	60-57-1	insecticida		
975	dienestrol	dienestrol	diènestrol	dienestrol	84-17-3	estrogen		
976	dienogest	dienogest	diénogest	dienogest	65928-58-7	progestagen		
977	dietazina	dietazina	diéthazine	diethazine	60-91-3	anticolinèrgic central	antiparkinsonià	
978	dietilestilbestrol	dietilestilbestrol	diéthylstilbestrol	diethylstilbestrol	56-53-1	estrogen		
979	dietiltoluamida	dietiltoluamida	diéthyltoluamide	diethyltoluamide	134-62-3	repel·lent d'insectes		
980	difebarbamat	difebarbamato	difébarbamate	difebarbamate	15687-09-9	tranquil·litzant		
981	difemerina	difemerina	difémérine	difemerine	80387-96-8	antiespasmòdic		
982	difenadiona	difenadiona	diphénadione	diphenadione	82-66-6	antagonista de la vitamina K	anticoagulant	
983	difenhidramina	difenhidramina	diphénhydramine	diphenhydramine	58-73-1	antiemètic	antihistamínic H1	
984	difenidol	difenidol	difénidol	difenidol	972-02-1	antiemètic		
985	difenilpiralina	difenilpiralina	diphénylpyraline	diphenylpyraline	147-20-6	antial·lèrgic	antihistamínic H1	
986	difenoxilat	difenoxilato	diphénoxylate	diphenoxylate	915-30-0	antidiarreic		
987	difenoxina	difenoxina	difénoxine	difenoxin	28782-42-5	antidiarreic		
988	diflorasona	diflorasona	diflorasone	diflorasone	2557-49-5	glucocorticoide		
989	difloxacina	difloxacino	difloxacine	difloxacin	98106-17-3	antibiòtic quinolònic		
990	diflucortolona	diflucortolona	diflucortolone	diflucortolone	2607-06-9	fungicida d'ús tòpic		
991	diflunisal	diflunisal	diflunisal	diflunisal	22494-42-4	analgèsic	antiinflamatori	
992	difluprednat	difluprednato	difluprednate	difluprednate	23674-86-4	antiinflamatori		
993	digitoxina	digitoxina	digitoxine	digitoxin	71-63-6	glucòsid cardiotònic		
994	digoxina	digoxina	digoxine	digoxin	20830-75-5	glucòsid cardiotònic		
995	dihexiverina	dihexiverina	dihexyvérine	dihexyverine	561-77-3	antiespasmòdic		
996	dihidralazina	dihidralazina	dihydralazine	dihydralazine	484-23-1	antihipertensor	vasodilatador perifèric	
997	dihidrocodeïna	dihidrocodeína	dihydrocodéine	dihydrocodeine	125-28-0	analgèsic opiaci	antitussigen	
998	dihidroergotamina	dihidroergotamina	dihydroergotamine	dihydroergotamine	511-12-6	antimigranyós		
999	dihidroestreptomicina	dihidrostreptomicina	dihydrostreptomycine	dihydrostreptomycin	128-46-1	antibiòtic aminoglicosídic		
1000	dihidrotaquisterol	dihidrotaquisterol	dihydrotachystérol	dihydrotachysterol	67-96-9	emprat en la prevenció i el tractament del dèficit de vitamina D		
1001	diiodohidroxiquinolina	diiodohidroxiquinoleína	diiodohydroxyquinoléine	diiodohydroxyquinoline	83-73-8	amebicida	antiprotozoari	antisèptic
1002	diisopromina	diisopromina	diisopromine	diisopromine	5966-41-6	antiespasmòdic		
1003	dilazep	dilazep	dilazep	dilazep	35898-87-4	vasodilatador coronari		
1004	diloxanida	diloxanida	diloxanide	diloxanide	579-38-4	amebicida	antiprotozoari	
1005	diltiazem	diltiazem	diltiazem	diltiazem	42399-41-7	vasodilatador coronari		
1006	dimemorfan	dimemorfano	dimémorfane	dimemorfan	36309-01-0	antitussigen		
1007	dimenhidrinat	dimenhidrinato	diménhydrinate	dimenhydrinate	523-87-5	antiemètic	antihistamínic H1	
1008	dimercaprol	dimercaprol	dimercaprol	dimercaprol	59-52-9	antídot	quelant	
1009	dimeticona	dimeticona	diméticone	dimeticone	9006-65-9	antiflatulent		
1010	dimetindè	dimetindeno	dimétindène	dimetindene	5636-83-9	antial·lèrgic	antihistamínic H1	
1011	dimetofrina	dimetofrina	dimétofrine	dimetofrine	22950-29-4	vasoconstrictor		
1012	dimetotiazina	dimetotiazina	dimétotiazine	dimetotiazine	7456-24-8	antial·lèrgic	antimigranyós	
1013	dimetoxanat	dimetoxanato	diméthoxanate	dimethoxanate	477-93-0	antitussigen		
1014	dimevamida	dimevamida	dimévamide	dimevamide	60-46-8	anticolinèrgic		
1015	dimpilat	dimpilato	dimpylate	dimpylate	333-41-5	insecticida		
1016	dinitrat d'isosorbida	dinitrato de isosorbida	dinitrate d'isosorbide	isosorbide dinitrate	87-33-2	vasodilatador coronari		
1017	dinoprost	dinoprost	dinoprost	dinoprost	551-11-1	oxitòcic	prostaglandina	
1018	dinoprostona	dinoprostona	dinoprostone	dinoprostone	363-24-6	oxitòcic	prostaglandina	
1019	dinutuximab	dinutuximab	dinutuximab	dinutuximab	1363687-32-4	anticòs monoclonal		
1020	diolamina	diolamina	diolamine	diolamine	111-42-2	coadjuvant farmacèutic		
1021	diosmina	diosmina	diosmine	diosmin	520-27-4	vasoprotector		
1022	dioxatió	dioxatión	dioxation	dioxation	78-34-2	insecticida		
